,title,link,department_id,brand,rating,tcin,price,currency,symbol,sponsored,duplicate_title
0,Gain + Aroma Boost Original Scent HE Compatible Liquid Laundry Detergent - 154 fl oz,https://www.target.com/p/gain-aroma-boost-original-scent-he-compatible-liquid-laundry-detergent-154-fl-oz/-/A-78016139,3,Gain,0.0,78016139,15.99,USD,$,True,True
1,Gain flings! Laundry Detergent Pacs - Original - 76oz/112ct,https://www.target.com/p/gain-flings-laundry-detergent-pacs-original-76oz-112ct/-/A-84114522,3,Gain,0.0,84114522,27.49,USD,$,True,True
5,Gain + Aroma Boost Original Scent HE Compatible Liquid Laundry Detergent - 154 fl oz,https://www.target.com/p/gain-aroma-boost-original-scent-he-compatible-liquid-laundry-detergent-154-fl-oz/-/A-78016139,3,Gain,0.0,78016139,15.99,USD,$,False,True
6,Gain flings! Liquid Laundry Detergent Pacs - Moonlight Breeze - 83oz/112ct,https://www.target.com/p/gain-flings-liquid-laundry-detergent-pacs-moonlight-breeze-83oz-112ct/-/A-84114501,3,Gain,0.0,84114501,27.49,USD,$,True,True
7,Gain Flings Super Fresh 3-in-1 with Febreze and Oxi Odor Defense Liquid Laundry Detergent Pacs - 62oz/81ct,https://www.target.com/p/gain-flings-super-fresh-3-in-1-with-febreze-and-oxi-odor-defense-liquid-laundry-detergent-pacs-62oz-81ct/-/A-84114502,3,Gain,0.0,84114502,21.49,USD,$,True,True
28,Gain flings! Laundry Detergent Pacs - Original - 76oz/112ct,https://www.target.com/p/gain-flings-laundry-detergent-pacs-original-76oz-112ct/-/A-84114522,3,Gain,0.0,84114522,27.49,USD,$,True,True
29,Gain flings! Liquid Laundry Detergent Pacs - Moonlight Breeze - 83oz/112ct,https://www.target.com/p/gain-flings-liquid-laundry-detergent-pacs-moonlight-breeze-83oz-112ct/-/A-84114501,3,Gain,0.0,84114501,27.49,USD,$,True,True
34,Gain Flings Super Fresh 3-in-1 with Febreze and Oxi Odor Defense Liquid Laundry Detergent Pacs - 62oz/81ct,https://www.target.com/p/gain-flings-super-fresh-3-in-1-with-febreze-and-oxi-odor-defense-liquid-laundry-detergent-pacs-62oz-81ct/-/A-84114502,3,Gain,0.0,84114502,21.49,USD,$,True,True
55,Gain flings! Liquid Laundry Detergent Pacs - Moonlight Breeze - 83oz/112ct,https://www.target.com/p/gain-flings-liquid-laundry-detergent-pacs-moonlight-breeze-83oz-112ct/-/A-84114501,3,Gain,0.0,84114501,27.49,USD,$,False,True
64,Gain flings! Laundry Detergent Pacs - Original - 76oz/112ct,https://www.target.com/p/gain-flings-laundry-detergent-pacs-original-76oz-112ct/-/A-84114522,3,Gain,0.0,84114522,27.49,USD,$,False,True
88,Gain Flings Super Fresh 3-in-1 with Febreze and Oxi Odor Defense Liquid Laundry Detergent Pacs - 62oz/81ct,https://www.target.com/p/gain-flings-super-fresh-3-in-1-with-febreze-and-oxi-odor-defense-liquid-laundry-detergent-pacs-62oz-81ct/-/A-84114502,3,Gain,0.0,84114502,21.49,USD,$,False,True
